sample_index,stamp,residual_x_m,residual_y_m,residual_z_m,residual_roll_rad,residual_pitch_rad,residual_yaw_rad,translation_residual_m,rotation_residual_deg,arm_before_dt_s,arm_after_dt_s,arm_alpha,head_id2_reprojection_error_px,head_id2_distance_m,head_id2_view_angle_deg
131,1779190843.139663935,-0.00264191048,-0.00492137768,-0.00165474917,0.00805735067,0.0155149728,-0.0135430315,0.00582561963,1.26706476,0.0152676105,0.0180904865,0.457688294,0.159265074,0.509615819,24.8698908
132,1779190843.206371069,-0.000171800759,-0.000711183314,-0.00253769329,0.0151335411,0.0241641376,-0.00529281411,0.00264105744,1.66152178,0.0486166477,0.0180997849,0.728705745,0.169526649,0.509318172,24.6879916
133,1779190843.273078680,-0.003016426,-0.00558312467,-0.00158119247,-0.0330479409,0.0175523622,-0.0164176529,0.00653989882,2.34128191,0.015250206,0.0181109905,0.457124072,0.0312387988,0.510261568,22.6220507
134,1779190843.306433201,-0.00439591418,-0.010420821,-0.00118995536,-0.0186278071,0.0134297343,-0.0310483466,0.0113724916,2.21265054,0.0152435303,0.0181181431,0.456917437,0.197972532,0.509164174,23.8651117
135,1779190843.373138428,1.4502127e-05,-0.00208794565,-0.00733321228,0.0301218461,0.00769646172,-0.00729321607,0.00762467899,1.82965811,0.0152256489,0.0181360245,0.456381451,0.161560341,0.50818223,25.311843
136,1779190843.406491280,0.000607021437,-0.00170678848,-0.00513716358,0.0112609365,0.0179109516,-0.00439424261,0.00544720586,1.23806654,0.0152168274,0.0181446075,0.45612029,0.172651466,0.512087325,24.3967821
137,1779190843.539901495,-0.00189278105,-0.00516305719,-0.00327080664,-0.000266305632,0.0119057689,-0.0170869833,0.00639827755,1.19332578,0.0151805878,0.0181810856,0.455030766,0.404875631,0.512989136,24.679468
138,1779190843.573254108,0.000104396051,-0.00691849936,0.000237296972,-0.0103395737,-0.00268583608,-0.0151655102,0.00692335481,1.06285323,0.0151715279,0.0181899071,0.454762449,0.179311369,0.515628404,24.3144108
139,1779190843.873425245,-0.000910512639,-0.00212216761,-0.00511574549,0.00759916216,0.0208131504,-0.00824117163,0.00561279614,1.35447442,0.0484492779,0.0182743073,0.726119224,0.271258761,0.508014068,27.3683112
140,1779190843.940129757,-0.000457877033,-0.00317247531,-0.00644136088,0.00348057187,0.0392583592,-0.0114495076,0.00719481626,2.35151845,0.015068531,0.0182933807,0.451668691,0.141369939,0.505832147,27.7819657
141,1779190845.274019718,-0.00121628466,-0.00405445331,0.00287056295,0.00650545874,-0.0105751617,-0.0106468098,0.00511449623,0.937113763,0.0146448612,0.0187163353,0.438978896,0.464551577,0.480690703,35.9699211
142,1779190848.777513266,0.00184668736,0.000846527678,-0.00485399757,0.00267360594,0.0142972684,-0.0054510227,0.0052619536,0.889974626,0.0157134533,0.0176408291,0.471107521,0.106652356,0.410077084,42.799712
143,1779190848.844295025,-0.00130054882,-0.00237403261,0.00064124202,-0.0100751604,0.010946417,-0.0121453676,0.00278184281,1.1003816,0.0157864094,0.017567873,0.473294829,0.255074104,0.408689345,42.9641057
144,1779190856.549241304,0.000736885039,-0.00246785852,0.00335761172,-0.00216820045,-0.0154405755,-0.00790830769,0.00423165236,1.00169966,0.0487029552,0.0180065632,0.730075054,0.340767143,0.402263615,42.4286563
145,1779190856.649290562,-0.0042082946,-0.00787951642,0.00121132092,-0.00576702865,-0.00197624725,-0.0181350866,0.0090146448,1.09620099,0.0153329372,0.0180215836,0.459695923,0.429480937,0.400873006,42.9236023
146,1779190856.715990067,-9.87939796e-05,-0.00380368955,0.00138910712,0.00471575372,0.00440494383,-0.0138162672,0.00405060897,0.873701653,0.0153231621,0.0180315971,0.459399571,0.357899873,0.401435651,43.2402228
147,1779190856.749339581,0.000233183993,0.0010524032,-0.00131867935,0.00432261722,0.00213570355,0.00206079189,0.00170318599,0.300423974,0.0153179169,0.0180368423,0.459242316,0.438256478,0.401719332,42.8310753
148,1779190856.782689095,-0.000265280076,0.000386636278,-0.00214139674,0.000864243184,0.00381709396,-0.00610645179,0.00219213164,0.415565764,0.0153126717,0.0180420876,0.459085061,0.199048063,0.402457275,42.6165641
149,1779190856.849388123,-0.000721041404,-0.00363630436,0.00327232703,0.00579916369,-0.00697327012,-0.00930931163,0.00494476837,0.744668992,0.0486569405,0.0180528164,0.729382668,0.265838075,0.401203924,43.1672753
150,1779190856.882737637,-0.00159409261,-0.00207513689,0.00386183449,-0.00572819108,-0.0132906748,-0.00739268144,0.00466487835,0.931133011,0.0152966976,0.0180580616,0.458606147,0.397987111,0.402021714,42.4656834
151,1779190856.916086912,-0.0052497259,-0.00772832438,0.00573132687,-0.0172683636,-0.0131680554,-0.0209849575,0.0109605989,1.73025903,0.015291214,0.0180635452,0.458441744,0.18798513,0.401986217,42.538889
152,1779190863.820780277,-0.00330466068,-0.00240000332,-0.0038383283,-0.0141507828,0.00572779217,-0.00811150958,0.0056047803,0.990486184,0.0476999283,0.0190019608,0.7151211,0.15611613,0.502715147,8.15368047
153,1779190863.854149103,0.00306963636,0.000158042331,0.00226050896,-0.0146348374,-0.0367309425,0.000318429947,0.00381543517,2.26549715,0.0143668652,0.0189836025,0.430784518,0.275313942,0.503391216,6.94976297
155,1779190864.321329117,-0.00428415189,-0.00612736428,-0.00682344838,-0.00647437005,0.0355634702,-0.0179302336,0.0101221538,2.31191925,0.0479912758,0.0187203884,0.71938358,0.276848983,0.504207431,10.2039387
156,1779190870.392639875,0.00191769589,0.00391175789,0.00377111831,0.00825230412,-0.012643081,0.00433512995,0.00576200839,0.900002304,0.0153205395,0.0180580616,0.458992857,0.28522232,0.569734871,20.6256034
157,1779190870.892924070,-0.00235619927,-0.00381978425,-0.00279936437,-0.0338811937,0.0245528867,-0.00728448227,0.00528950542,2.43344775,0.0482823849,0.018481493,0.723181253,0.237756049,0.574066345,19.7879211
